"","ay","age","amount","metric","eval_date"
"2009.151",2009,15,1.67,"ind_itdrptd",2011-03-31
"2010.151",2010,15,1.665,"ind_itdrptd",2012-03-31
"2011.151",2011,15,1.657,"ind_itdrptd",2013-03-31
"2012.151",2012,15,1.662,"ind_itdrptd",2014-03-31
"2013.151",2013,15,1.604,"ind_itdrptd",2015-03-31
"2014.151",2014,15,1.625,"ind_itdrptd",2016-03-31
"2015.151",2015,15,1.63,"ind_itdrptd",2017-03-31
"2016.151",2016,15,1.606,"ind_itdrptd",2018-03-31
"2017.151",2017,15,1.588,"ind_itdrptd",2019-03-31
"2007.271",2007,27,1.216,"ind_itdrptd",2010-03-31
"2008.271",2008,27,1.245,"ind_itdrptd",2011-03-31
"2009.271",2009,27,1.233,"ind_itdrptd",2012-03-31
"2010.271",2010,27,1.25,"ind_itdrptd",2013-03-31
"2011.271",2011,27,1.225,"ind_itdrptd",2014-03-31
"2012.271",2012,27,1.218,"ind_itdrptd",2015-03-31
"2013.271",2013,27,1.201,"ind_itdrptd",2016-03-31
"2014.271",2014,27,1.224,"ind_itdrptd",2017-03-31
"2015.271",2015,27,1.195,"ind_itdrptd",2018-03-31
"2016.271",2016,27,1.187,"ind_itdrptd",2019-03-31
"2006.391",2006,39,1.1,"ind_itdrptd",2010-03-31
"2007.391",2007,39,1.104,"ind_itdrptd",2011-03-31
"2008.391",2008,39,1.116,"ind_itdrptd",2012-03-31
"2009.391",2009,39,1.124,"ind_itdrptd",2013-03-31
"2010.391",2010,39,1.112,"ind_itdrptd",2014-03-31
"2011.391",2011,39,1.109,"ind_itdrptd",2015-03-31
"2012.391",2012,39,1.093,"ind_itdrptd",2016-03-31
"2013.391",2013,39,1.093,"ind_itdrptd",2017-03-31
"2014.391",2014,39,1.097,"ind_itdrptd",2018-03-31
"2015.391",2015,39,1.085,"ind_itdrptd",2019-03-31
"2005.511",2005,51,1.063,"ind_itdrptd",2010-03-31
"2006.511",2006,51,1.072,"ind_itdrptd",2011-03-31
"2007.511",2007,51,1.066,"ind_itdrptd",2012-03-31
"2008.511",2008,51,1.063,"ind_itdrptd",2013-03-31
"2009.511",2009,51,1.067,"ind_itdrptd",2014-03-31
"2010.511",2010,51,1.062,"ind_itdrptd",2015-03-31
"2011.511",2011,51,1.053,"ind_itdrptd",2016-03-31
"2012.511",2012,51,1.059,"ind_itdrptd",2017-03-31
"2013.511",2013,51,1.047,"ind_itdrptd",2018-03-31
"2014.511",2014,51,1.049,"ind_itdrptd",2019-03-31
"2004.631",2004,63,1.037,"ind_itdrptd",2010-03-31
"2005.631",2005,63,1.049,"ind_itdrptd",2011-03-31
"2006.631",2006,63,1.051,"ind_itdrptd",2012-03-31
"2007.631",2007,63,1.045,"ind_itdrptd",2013-03-31
"2008.631",2008,63,1.043,"ind_itdrptd",2014-03-31
"2009.631",2009,63,1.043,"ind_itdrptd",2015-03-31
"2010.631",2010,63,1.037,"ind_itdrptd",2016-03-31
"2011.631",2011,63,1.032,"ind_itdrptd",2017-03-31
"2012.631",2012,63,1.033,"ind_itdrptd",2018-03-31
"2013.631",2013,63,1.03,"ind_itdrptd",2019-03-31
"2003.751",2003,75,1.018,"ind_itdrptd",2010-03-31
"2004.751",2004,75,1.026,"ind_itdrptd",2011-03-31
"2005.751",2005,75,1.039,"ind_itdrptd",2012-03-31
"2006.751",2006,75,1.031,"ind_itdrptd",2013-03-31
"2007.751",2007,75,1.03,"ind_itdrptd",2014-03-31
"2008.751",2008,75,1.025,"ind_itdrptd",2015-03-31
"2009.751",2009,75,1.021,"ind_itdrptd",2016-03-31
"2010.751",2010,75,1.023,"ind_itdrptd",2017-03-31
"2011.751",2011,75,1.024,"ind_itdrptd",2018-03-31
"2012.751",2012,75,1.022,"ind_itdrptd",2019-03-31
"2002.871",2002,87,1.01,"ind_itdrptd",2010-03-31
"2003.871",2003,87,1.02,"ind_itdrptd",2011-03-31
"2004.871",2004,87,1.025,"ind_itdrptd",2012-03-31
"2005.871",2005,87,1.022,"ind_itdrptd",2013-03-31
"2006.871",2006,87,1.02,"ind_itdrptd",2014-03-31
"2007.871",2007,87,1.022,"ind_itdrptd",2015-03-31
"2008.871",2008,87,1.018,"ind_itdrptd",2016-03-31
"2009.871",2009,87,1.016,"ind_itdrptd",2017-03-31
"2010.871",2010,87,1.017,"ind_itdrptd",2018-03-31
"2011.871",2011,87,1.016,"ind_itdrptd",2019-03-31
"2001.991",2001,99,1.007,"ind_itdrptd",2010-03-31
"2002.991",2002,99,1.011,"ind_itdrptd",2011-03-31
"2003.991",2003,99,1.016,"ind_itdrptd",2012-03-31
"2004.991",2004,99,1.015,"ind_itdrptd",2013-03-31
"2005.991",2005,99,1.016,"ind_itdrptd",2014-03-31
"2006.991",2006,99,1.012,"ind_itdrptd",2015-03-31
"2007.991",2007,99,1.012,"ind_itdrptd",2016-03-31
"2008.991",2008,99,1.011,"ind_itdrptd",2017-03-31
"2009.991",2009,99,1.013,"ind_itdrptd",2018-03-31
"2010.991",2010,99,1.011,"ind_itdrptd",2019-03-31
"2000.1111",2000,111,1.005,"ind_itdrptd",2010-03-31
"2001.1111",2001,111,1.008,"ind_itdrptd",2011-03-31
"2002.1111",2002,111,1.009,"ind_itdrptd",2012-03-31
"2003.1111",2003,111,1.012,"ind_itdrptd",2013-03-31
"2004.1111",2004,111,1.015,"ind_itdrptd",2014-03-31
"2005.1111",2005,111,1.01,"ind_itdrptd",2015-03-31
