"","ay","age","amount","metric","eval_date"
"1993.267",1993,267,1684313594,"ind_itdpaid",03/31/2015
"1994.267",1994,267,1615411459,"ind_itdpaid",03/31/2016
"1995.267",1995,267,1618642281,"ind_itdpaid",03/31/2017
"1996.267",1996,267,1940627998,"ind_itdpaid",03/31/2018
"1986.279",1986,279,1368871539,"ind_itdpaid",03/31/2009
"1987.279",1987,279,1492790821,"ind_itdpaid",03/31/2010
"1988.279",1988,279,1689826478,"ind_itdpaid",03/31/2011
"1989.279",1989,279,1925367056,"ind_itdpaid",03/31/2012
"1990.279",1990,279,1929219715,"ind_itdpaid",03/31/2013
"1991.279",1991,279,2460304077,"ind_itdpaid",03/31/2014
"1992.279",1992,279,1979421881,"ind_itdpaid",03/31/2015
"1993.279",1993,279,1685997907,"ind_itdpaid",03/31/2016
"1994.279",1994,279,1618642281,"ind_itdpaid",03/31/2017
"1995.279",1995,279,1621879566,"ind_itdpaid",03/31/2018
"1986.291",1986,291,1371609282,"ind_itdpaid",03/31/2010
"1987.291",1987,291,1494283612,"ind_itdpaid",03/31/2011
"1988.291",1988,291,1693206131,"ind_itdpaid",03/31/2012
"1989.291",1989,291,1927292423,"ind_itdpaid",03/31/2013
"1990.291",1990,291,1931148935,"ind_itdpaid",03/31/2014
"1991.291",1991,291,2462764381,"ind_itdpaid",03/31/2015
"1992.291",1992,291,1981401303,"ind_itdpaid",03/31/2016
"1993.291",1993,291,1687683905,"ind_itdpaid",03/31/2017
"1994.291",1994,291,1621879566,"ind_itdpaid",03/31/2018
"1986.303",1986,303,1372980891,"ind_itdpaid",03/31/2011
"1987.303",1987,303,1495777896,"ind_itdpaid",03/31/2012
"1988.303",1988,303,1694899337,"ind_itdpaid",03/31/2013
"1989.303",1989,303,1929219715,"ind_itdpaid",03/31/2014
"1990.303",1990,303,1933080084,"ind_itdpaid",03/31/2015
"1991.303",1991,303,2465227145,"ind_itdpaid",03/31/2016
"1992.303",1992,303,1983382704,"ind_itdpaid",03/31/2017
"1993.303",1993,303,1689371589,"ind_itdpaid",03/31/2018
"1986.315",1986,315,1374353872,"ind_itdpaid",03/31/2012
"1987.315",1987,315,1498769452,"ind_itdpaid",03/31/2013
"1988.315",1988,315,1696594237,"ind_itdpaid",03/31/2014
"1989.315",1989,315,1931148935,"ind_itdpaid",03/31/2015
"1990.315",1990,315,1935013164,"ind_itdpaid",03/31/2016
"1991.315",1991,315,2467692373,"ind_itdpaid",03/31/2017
"1992.315",1992,315,1985366087,"ind_itdpaid",03/31/2018
"1986.327",1986,327,1375728226,"ind_itdpaid",03/31/2013
"1987.327",1987,327,1500268221,"ind_itdpaid",03/31/2014
"1988.327",1988,327,1698290831,"ind_itdpaid",03/31/2015
"1989.327",1989,327,1933080084,"ind_itdpaid",03/31/2016
"1990.327",1990,327,1936948177,"ind_itdpaid",03/31/2017
"1991.327",1991,327,2470160065,"ind_itdpaid",03/31/2018
"1986.339",1986,339,1377103954,"ind_itdpaid",03/31/2014
"1987.339",1987,339,1501768489,"ind_itdpaid",03/31/2015
"1988.339",1988,339,1699989122,"ind_itdpaid",03/31/2016
"1989.339",1989,339,1935013164,"ind_itdpaid",03/31/2017
"1990.339",1990,339,1936948177,"ind_itdpaid",03/31/2018
"1986.351",1986,351,1378481058,"ind_itdpaid",03/31/2015
"1987.351",1987,351,1503270258,"ind_itdpaid",03/31/2016
"1988.351",1988,351,1699989122,"ind_itdpaid",03/31/2017
"1989.351",1989,351,1936948177,"ind_itdpaid",03/31/2018
"1986.363",1986,363,1379859539,"ind_itdpaid",03/31/2016
